web_scraper_order,web_scraper_start_url,Links,Title,Price,Price_Period,Location,Property_Type,Bedrooms,Bathrooms,Area,Purpose,Furnishing,Updated,Description,Amenities,Permit_Number,Reference_ID,BLN_ADREC,Agency,Pages,title,data
"1789471894-1","https://abudhabi.dubizzle.com/en/property-for-rent/residential/","","","","","","","","","","","","","","","","","","","https://abudhabi.dubizzle.com/en/property-for-rent/residential/?page=2","",""
"1789471894-2","https://abudhabi.dubizzle.com/en/property-for-rent/residential/","","","","","","","","","","","","","","","","","","","https://abudhabi.dubizzle.com/en/property-for-rent/residential/?page=3","",""
"1789471894-3","https://abudhabi.dubizzle.com/en/property-for-rent/residential/","","","","","","","","","","","","","","","","","","","https://abudhabi.dubizzle.com/en/property-for-rent/residential/?page=4","",""
"1789471894-4","https://abudhabi.dubizzle.com/en/property-for-rent/residential/","","","","","","","","","","","","","","","","","","","https://abudhabi.dubizzle.com/en/property-for-rent/residential/?page=5","",""
"1789471894-5","https://abudhabi.dubizzle.com/en/property-for-rent/residential/","","","","","","","","","","","","","","","","","","","https://abudhabi.dubizzle.com/en/property-for-rent/residential/?page=6","",""
"1789471894-6","https://abudhabi.dubizzle.com/en/property-for-rent/residential/","","","","","","","","","","","","","","","","","","","https://abudhabi.dubizzle.com/en/property-for-rent/residential/?page=7","",""
"1789471894-7","https://abudhabi.dubizzle.com/en/property-for-rent/residential/","","","","","","","","","","","","","","","","","","","https://abudhabi.dubizzle.com/en/property-for-rent/residential/?page=8","",""
"1789471894-8","https://abudhabi.dubizzle.com/en/property-for-rent/residential/","","","","","","","","","","","","","","","","","","","https://abudhabi.dubizzle.com/en/property-for-rent/residential/?page=9","",""
"1789471894-9","https://abudhabi.dubizzle.com/en/property-for-rent/residential/","","","","","","","","","","","","","","","","","","","https://abudhabi.dubizzle.com/en/property-for-rent/residential/?page=10","",""
"1789471894-10","https://abudhabi.dubizzle.com/en/property-for-rent/residential/","","","","","","","","","","","","","","","","","","","https://abudhabi.dubizzle.com/en/property-for-rent/residential/?page=2","",""
"1789471894-11","https://abudhabi.dubizzle.com/en/property-for-rent/residential/","","","","","","","","","","","","","","","","","","","https://abudhabi.dubizzle.com/en/property-for-rent/residential/?page=214","",""
