url,reference_number,id,broker_display_name,title,property_type,description,location,price,currency,bedrooms,bathrooms,furnished,amenities,details,agent_name,property_image_urls,completion_status,ownership
https://www.bayut.eg/en/property/details-504034847.html,Bayut - 1412-oZqhry,504034847,Property Hills One 1,"A villa overlooking a landscaped area, ready for immediate occupancy, from Sodic at the lowest price in the market.",Villa,"A fully finished villa with an ultra-superb finish, overlooking a prime location with a large landscape, close to the clubhouse within the compound. The villa consists of 4 bedrooms plus a nanny's room, including 2 master bedrooms with dressing rooms, and 4 bathrooms. The villa is ready for viewing. For more details, please contact us via WhatsApp: [redacted phone number]Total Price: 33,000,000 EGPLocation:SODIC East New Heliopolis Compound is located in New Cairo, on the Ismailia-Suez Road. This location places the compound close to many important and vibrant landmarks in the area, in addition to numerous main roads and highways that facilitate access to and from the project. Services:Banks and companies are available to complete all your financial transactions without leaving the compound. The compound features elevators. SODIC East Compound boasts the most modern landscaping in the country. A 42-acre sports club is available, featuring a variety of sports fields, including football and tennis courts. Extensive green spaces and private gardens enhance the compound's aesthetic appeal, along with its tranquility and peace of mind. The project provides generators. Distinguished swimming pools of various shapes and sizes are available to suit all ages. 24-hour security is provided by highly qualified security personnel and state-of-the-art surveillance cameras operating around the clock. Private parking is available for residents of Sodic East Shorouk. For more details, please call +[redacted phone number]SA\T","Sodic East, New Heliopolis, Cairo",33000000,EGP,4,4.0,Furnished,"Built in Kitchen Appliances, Furnished, Covered parking, Electricity Backup, Pets Allowed, Centrally Air-Conditioned, Central Heating, Water Meter, Double Glazed Windows, Storage Areas, Natural Gas, Landline, Central A/C & heating, First Aid Medical Center, Gym or Health Club, Facilities for Disabled, Swimming Pool, Jacuzzi, Sauna, Steam Room, Day Care Center, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Waste Disposal, Maintenance Staff, Cleaning Services, Business Center, Conference Room, Security Staff, CCTV Security, Shared Kitchen, Laundry Room, Laundry Facility, Broadband Internet, Satellite/Cable TV, Intercom, 24 Hours Concierge, Maids Room, Freehold",331 Sq. M.,Santi Tareq,"[""https://images.bayut.eg/thumbnails/49130472-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49130473-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49130474-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49130475-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49130476-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49130477-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49130478-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49130479-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49130480-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49130481-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49130482-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49130483-800x600.jpeg""]",Ready,Primary
https://www.bayut.eg/en/property/details-504034491.html,Bayut - 1016-uZZby7,504034491,Falcon Real Estate,Duplex 206m + Garden Open View Opposite Madinaty Perfectly Positioned in Sarai Most Prime Location Minutes from Address East & Mountain View icity,Apartment,"206m² Private Garden Duplex | Prime Madinaty ViewLast Duplex Available for Sale – 2 Floors with a Villa-Like FeelFor Video & Viewing: [redacted phone number] – Call or WhatsApp100% Open View Over the Largest LandscapeA Serene View Offering Peace & Privacy All Day [Unobstructed]Cash: 8,200,000 | Or 900K Down + 12Y InstallmentsSarai Compound – Prime Location Directly Opposite Madinaty & on Suez RoadFor More Details: [redacted phone number]","Sarai, Mostakbal City, Cairo",8200000,EGP,4,4.0,Unfurnished,"Gym or Health Club, Swimming Pool, Jacuzzi, Sauna, Barbeque Area, Cafeteria or Canteen, Business Center, Security Staff, Shared Kitchen, Laundry Room, 24 Hours Concierge",206 Sq. M.,Dina Mohamed,"[""https://images.bayut.eg/thumbnails/49126818-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126819-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126820-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126821-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126822-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126823-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126824-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126825-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126826-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126827-800x600.jpeg""]",Off-Plan,Primary
https://www.bayut.eg/en/property/details-504034500.html,Bayut - 1016-kb5nH9,504034500,Falcon Real Estate,1st Row Lagoon Twin Chalet + Garden 60s to Sea Invest with Diar Qatar in Alam Al Roum’s MEGA PROJECT [ USD Returns],Chalet,"Invest with Diar Qatar in Alam Al Roum’s MEGA PROJECT [ USD Returns]Best selling Twin House Chalet High-Quality Finish & Views from all Room141 sqm + 200 sqm Private Garden [ First Row on Crystal Sandy Lagoon]Down Payment: 2,000,000 Only + Installments up to 8 Years!For Booking & Details: [redacted phone number] — Call or WhatsApp","Alam Al- Rum, Marsa Matrouh, Matruh Chalets, Matruh",20000000,EGP,3,4.0,Unfurnished,"Built in Kitchen Appliances, Sea view, Gym or Health Club, Jacuzzi, Barbeque Area, Cafeteria or Canteen, Business Center, Security Staff, Laundry Room, 24 Hours Concierge",141 Sq. M.,Dina Mohamed,"[""https://images.bayut.eg/thumbnails/49126932-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126933-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126935-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126937-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126939-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126941-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126942-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126945-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126947-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126948-800x600.jpeg""]",Off-Plan,Primary
https://www.bayut.eg/en/property/details-504034685.html,Bayut - 1016-Z08cJv,504034685,Falcon Real Estate,Villa view landscape & water feature 50% discount - Taj City Compound in front of Rehab New Cairo Minutes from Madinaty & American University,Villa,"Prime villa available on system in Taj City Compound New Cairo [Limited Units]Open view 100% overlooking largest landscape in front of Cairo Airport next to Kempinski HotelTotal cash price: 10,497,000 OnlyFor video & viewing: [redacted phone number] (Call or WhatsApp)","Taj City Compound, 1st Settlement, New Cairo, Cairo",10497000,EGP,3,3.0,Unfurnished,"Built in Kitchen Appliances, Gym or Health Club, Swimming Pool, Jacuzzi, Sauna, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Business Center, Security Staff, Laundry Room, 24 Hours Concierge",155 Sq. M.,Dina Mohamed,"[""https://images.bayut.eg/thumbnails/49128950-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128951-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128952-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128953-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128954-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128955-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128956-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128957-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128958-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128959-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128960-800x600.jpeg""]",Off-Plan,Primary
https://www.bayut.eg/en/property/details-504034450.html,Bayut - 1016-4dp8xi,504034450,Falcon Real Estate,Ultra Lux Apartment 33% Off + 10Y Plan Next to SODIC EAST in Talala Compound New Heliopolis — just minutes from Madinaty and New Cairo,Apartment,"Apartment with a breathtaking Landscape View in Talala Compound100 SQM | Fully Finished ULTRA SUPER LUX2 Bedrooms, including 1 Master Bedroom + 2 BathroomsDeveloped by Madinet Masr for Housing & DevelopmentInstallments over 10 Years with 335,000 DP + 33% DiscountOr Pay Cash: EGP 3,600,000 Only. For inquiries & viewing: [redacted phone number] + WhatsApp","Talala, New Heliopolis, Cairo",3600000,EGP,2,2.0,Unfurnished,"Built in Kitchen Appliances, Gym or Health Club, Swimming Pool, Sauna, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Business Center, Security Staff, Laundry Room, 24 Hours Concierge",100 Sq. M.,Dina Mohamed,"[""https://images.bayut.eg/thumbnails/49126026-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126027-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126028-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126029-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126030-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126031-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126032-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49126033-800x600.jpeg""]",Off-Plan,Primary
https://www.bayut.eg/en/property/details-504034655.html,Bayut - 1412-HZ8x6N,504034655,Property Hills One 1,Villa new cairo close to hydepark on 90th street,Villa,"A villa in the heart of the community is very close to the American University and Hyde ParkVilla in the fifth settlement• Compound: ever new cairo• Area: 228 metres•Gardine: 101 metres• The installment is available for 8 years without a void• Price after discount: 13.5 millionTo deliver, send photos and videos, determine a preview, installment schedule, and masterplan[redacted phone number]Very Large Green Spaces; The Landscape Percentage Is High Compared To The Percentage Of Buildings, And This Is A Sense Of Calm And Privacy. * Diversity of units: Apartments, Townhouses, Twin Houses and Standalone Villas, and therefore suitable for different segments of customers. * Swimming Pools for adults and children. * Gym + Spa and Wellness facilities. * Bike & Running Tracks and walking areas. * Clubhouse and social and recreational spaces. * Restaurants, cafes and commercial services within the project to reduce the need to leave the compound. * Children's areas and open spaces for families. * Security and guarding 24/7, cameras and secure entrances. * Garages and organised parking. * Suitable for investment due to the location of New Cairo, diversity of units, and integrated services.","Ever Compound, 6th Settlement, New Cairo, Cairo",13500000,EGP,5,5.0,Unfurnished,"Built in Kitchen Appliances, Furnished, Covered parking, Electricity Backup, Pets Allowed, Electricity Meter, Centrally Air-Conditioned, Central Heating, Water Meter, Double Glazed Windows, Storage Areas, Natural Gas, Landline, Central A/C & heating, Balcony or Terrace, Lobby in Building, Service Elevators, Prayer Room, First Aid Medical Center, Gym or Health Club, Facilities for Disabled, Swimming Pool, Jacuzzi, Sauna, Steam Room, Day Care Center, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Waste Disposal, Maintenance Staff, Cleaning Services, Business Center, Conference Room, Security Staff, CCTV Security, Shared Kitchen, Laundry Room, Laundry Facility, Broadband Internet, Satellite/Cable TV, Intercom, ATM Facility, 24 Hours Concierge, Maids Room, Freehold",228 Sq. M.,yara hisham,"[""https://images.bayut.eg/thumbnails/49128676-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128677-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128678-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128679-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128680-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128681-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128682-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128683-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128684-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128685-800x600.jpeg""]",Ready,Primary
https://www.bayut.eg/en/property/details-504034608.html,Bayut - 1412-dIjZNC,504034608,Property Hills One 1,villa new cairo close to american university and hydpark,Villa,"A villa in the heart of the community is very close to the American University and Hyde ParkVilla in the fifth settlement• Compound: ever new cairo• Area: 252 metres•Gardine: 194 metres• The installment is available for 8 years without a void• Price after discount: 15.7 millionTo deliver, send photos and videos, determine a preview, installment schedule, and masterplan[redacted phone number]Very Large Green Spaces; The Landscape Percentage Is High Compared To The Percentage Of Buildings, And This Is A Sense Of Calm And Privacy. * Diversity of units: Apartments, Townhouses, Twin Houses and Standalone Villas, and therefore suitable for different segments of customers. * Swimming Pools for adults and children. * Gym + Spa and Wellness facilities. * Bike & Running Tracks and walking areas. * Clubhouse and social and recreational spaces. * Restaurants, cafes and commercial services within the project to reduce the need to leave the compound. * Children's areas and open spaces for families. * Security and guarding 24/7, cameras and secure entrances. * Garages and organised parking. * Suitable for investment due to the location of New Cairo, diversity of units, and integrated services.","Ever Compound, 6th Settlement, New Cairo, Cairo",15700000,EGP,5,4.0,Unfurnished,"Furnished, Covered parking, Electricity Backup, Pets Allowed, Electricity Meter, Centrally Air-Conditioned, Central Heating, Water Meter, Double Glazed Windows, Storage Areas, Natural Gas, Landline, Central A/C & heating, Balcony or Terrace, Lobby in Building, Service Elevators, Prayer Room, First Aid Medical Center, Gym or Health Club, Facilities for Disabled, Swimming Pool, Jacuzzi, Sauna, Steam Room, Day Care Center, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Waste Disposal, Maintenance Staff, Cleaning Services, Business Center, Conference Room, Security Staff, CCTV Security, Broadband Internet, Satellite/Cable TV, Intercom, ATM Facility, 24 Hours Concierge, Maids Room, Freehold",252 Sq. M.,yara hisham,"[""https://images.bayut.eg/thumbnails/49128165-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128166-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128167-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128168-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128169-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128170-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128171-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128172-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128173-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128174-800x600.jpeg""]",Ready,Primary
https://www.bayut.eg/en/property/details-504034589.html,Bayut - 1412-gcA9Oa,504034589,Property Hills One 1,Villa new cairo close to American university and Hydepark,Villa,"A villa in the heart of the community is very close to the American University and Hyde ParkVilla in the fifth settlement• Compound: ever new cairo• Area: 252 metres•Gardine: 194 metres• The installment is available for 8 years without a void• Price after discount: 15.7 millionTo deliver, send photos and videos, determine a preview, installment schedule, and masterplan[redacted phone number]Very Large Green Spaces; The Landscape Percentage Is High Compared To The Percentage Of Buildings, And This Is A Sense Of Calm And Privacy. * Diversity of units: Apartments, Townhouses, Twin Houses and Standalone Villas, and therefore suitable for different segments of customers. * Swimming Pools for adults and children. * Gym + Spa and Wellness facilities. * Bike & Running Tracks and walking areas. * Clubhouse and social and recreational spaces. * Restaurants, cafes and commercial services within the project to reduce the need to leave the compound. * Children's areas and open spaces for families. * Security and guarding 24/7, cameras and secure entrances. * Garages and organised parking. * Suitable for investment due to the location of New Cairo, diversity of units, and integrated services.","Ever Compound, 6th Settlement, New Cairo, Cairo",15700000,EGP,4,4.0,Unfurnished,"Built in Kitchen Appliances, Furnished, Covered parking, Pets Allowed, Electricity Meter, Centrally Air-Conditioned, Central Heating, Water Meter, Double Glazed Windows, Storage Areas, Natural Gas, Landline, Central A/C & heating, Balcony or Terrace, Lobby in Building, Service Elevators, Prayer Room, First Aid Medical Center, Gym or Health Club, Facilities for Disabled, Swimming Pool, Jacuzzi, Sauna, Steam Room, Day Care Center, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Waste Disposal, Maintenance Staff, Cleaning Services, Business Center, Conference Room, Security Staff, CCTV Security, Shared Kitchen, Laundry Room, Laundry Facility, Broadband Internet, Satellite/Cable TV, Intercom, ATM Facility, 24 Hours Concierge, Maids Room, Freehold",252 Sq. M.,yara hisham,"[""https://images.bayut.eg/thumbnails/49128039-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128040-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128041-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128042-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128043-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128044-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128045-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128046-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128047-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49128048-800x600.jpeg""]",Ready,Primary
https://www.bayut.eg/en/property/details-504034303.html,Bayut - 5001963-A1A8Dh,504034303,Property Hills One,"At the old price, a distinctive villa ready for viewing at any time, with an area of 220 meters + garden in Al-Shorouk next to the British University.",Villa,"For a limited time and at a special price, a villa ((immediate delivery)) ready for occupancy in Al-Shorouk next to SODIC EastIts area is 220 meters + gardenConsists of ground floor, first floor, and roofDivided into ((4 rooms, including a master room - 4 bathrooms - reception - terrace - living))Double heightVery special view directly on the landscapeSocial clubSchoolsCommercial areaSports clubsMasjidsThe compound is fully serviced, inhabited, and livingFor complete details: https://wa. me/[redacted phone number]A fully integrated residential complex by Emkan Egypt for Real Estate Development, extending over a massive area in East Cairo, and designed according to a vision that gives the client complete priority, as it provides various service facilities that enhance the quality of life. The compound includes many diverse residential units, and the company owning the Al-Borg project ensured its establishment in a highly distinguished geographical location that makes it close to the most vital areas that facilitate access. Read less","Al Burouj, Shorouk City, Cairo",13200000,EGP,4,4.0,Unfurnished,"Covered parking, Water Meter, Natural Gas, Balcony or Terrace, Gym or Health Club, Swimming Pool, Jacuzzi, Sauna, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Maintenance Staff, Business Center, Security Staff, CCTV Security, 24 Hours Concierge",220 Sq. M.,Rahma wael,"[""https://images.bayut.eg/thumbnails/49124075-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49124076-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49124077-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49124078-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49124079-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49124080-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49124081-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49124082-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49124083-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49124084-800x600.jpeg""]",Ready,Primary
https://www.bayut.eg/en/property/details-504034237.html,Bayut - 6624-N8akZ5,504034237,Closer Real Estate,"Last 3-bedroom apartment for sale with a down payment of 800,000 in Fifth Settlement, next to AUC.",Apartment,"3-Bedroom Apartment for Sale in the Heart of New Cairo162 sq mDistinctive LayoutOpen Pool ViewPrime Location on 90th Street, minutes from the American University in Cairo (AUC)And opposite Hyde Park CompoundDown payment of 800,000 EGP and the rest in installments up to 10 years interest-freeOr for 5,300,000 EGP cash after discountFor reservations and inquiries, contact [redacted phone number] + WhatsApp","The Icon Residence Compound, 5th Settlement, New Cairo, Cairo",5300000,EGP,3,3.0,Unfurnished,"Covered parking, Electricity Meter, Water Meter, Natural Gas, Landline, Balcony or Terrace, Lobby in Building, Service Elevators, Gym or Health Club, Facilities for Disabled, Day Care Center, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Waste Disposal, Maintenance Staff, Cleaning Services, Security Staff, CCTV Security, Intercom, 24 Hours Concierge, Freehold",162 Sq. M.,sara adham,"[""https://images.bayut.eg/thumbnails/49122895-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49122896-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49122897-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49122898-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49122899-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49122900-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49122901-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49122902-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49122903-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49122904-800x600.jpeg"", ""https://images.bayut.eg/thumbnails/49122905-800x600.jpeg""]",Off-Plan,Primary
